uid, activity inference
u00,0.109767326398
u01,0.0863172922238
u02,0.0598311639222
u03,0.0133423111547
u04,0.144272227261
u05,0.0412989640378
u07,0.0659114695237
u08,0.079257187783
u09,0.070271945456
u10,0.0475638801382
u12,0.0515983209558
u13,0.042843436014
u14,0.099383461114
u15,0.0403248236395
u16,0.0516662462629
u17,0.0363112391931
u18,0.032955847673
u19,0.037534862101
u20,0.0259739520643
u22,0.0617965108567
u23,0.0229622933383
u24,0.065671399923
u25,0.0883306500614
u27,0.0322022361111
u30,0.0737706826026
u31,0.0516119318087
u32,0.0834013876513
u33,0.0532812639192
u34,0.0493952869789
u35,0.0421787216603
u36,0.0798129696323
u39,0.00356192601493
u41,0.0349068870968
u42,0.0292407665615
u43,0.0700371045554
u44,0.0194341038695
u45,0.0276415762277
u46,0.148747357877
u47,0.0379779482881
u49,0.0571767516716
u50,0.0168755179428
u51,0.0877993635111
u52,0.262830037719
u53,0.0241792851268
u54,0.0738038641286
u56,0.057870716415
u57,0.119628710567
u58,0.0452917763861
u59,0.112626490054
