uid,ave_study_audio
u00,1.30725525208
u01,0.963070558595
u02,1.114055514
u04,1.2694860296
u05,1.45229866436
u07,0.57843137255
u08,1.20092560085
u09,1.05736568147
u10,0.898692057915
u12,0.941023130315
u13,2.0
u14,1.43298491528
u15,0.970043120201
u16,0.277277039849
u17,1.39837617499
u18,0.800023500264
u19,0.725472513011
u20,0.576619683275
u22,1.20993546456
u23,0.523187441262
u24,0.892072377347
u25,1.23726626709
u27,1.00044925364
u30,0.983238102931
u31,2.0
u32,1.09953919924
u33,0.5
u34,1.1080225692
u35,0.884269012513
u36,1.13041961392
u41,0.747951564078
u42,0.925932721977
u43,1.83333333333
u45,0.704675607321
u46,1.35953846937
u47,1.76433972784
u49,0.787107048053
u50,1.0
u52,1.0711714109
u53,1.66381554481
u54,0.283660482605
u57,1.4657965549
u59,1.41179841066
