uid,daily_aud_inf
u00,0.813896653658
u01,0.731282106045
u02,0.598452690655
u03,0.177661024204
u04,0.93761809939
u05,0.622137068152
u07,0.54361424441
u08,0.694802652743
u09,0.699509830575
u10,0.615759709431
u12,0.593355168004
u13,0.498076798448
u14,0.884611934205
u15,0.672560051497
u16,0.470576043553
u17,0.507052357954
u18,0.43915962427
u19,0.470931094164
u20,0.470840995152
u22,0.518549308874
u23,0.512414214185
u24,0.660697220284
u25,0.733560440422
u27,0.542398977009
u30,0.911924169365
u31,0.595290406207
u32,0.695934368957
u33,0.663954914879
u34,0.607168741701
u35,0.416371768128
u36,0.460695722566
u39,0.197672408276
u41,0.607036166623
u42,0.426840592323
u43,0.593519595841
u44,0.382113303359
u45,0.597450452849
u46,0.842384885421
u47,0.545741159796
u49,0.571004347906
u50,0.306811324578
u51,0.516451386498
u52,0.337113048035
u53,0.491798545169
u54,0.572587359831
u56,0.610210453072
u57,0.893010678972
u58,0.608921963416
u59,0.908537558502
