uid,stress_level
u00,2.82191780822
u01,3.125
u02,3.06666666667
u03,3.48275862069
u04,2.23255813953
u05,3.875
u07,3.77358490566
u08,2.33333333333
u09,3.66666666667
u10,3.32075471698
u12,2.76666666667
u14,2.05405405405
u15,2.9
u16,2.28037383178
u17,1.14285714286
u18,2.625
u19,2.52747252747
u20,3.1
u22,3.4
u23,3.09090909091
u24,2.51282051282
u25,3.15
u27,2.48
u30,3.53333333333
u31,3.33333333333
u32,3.5
u33,2.58620689655
u34,3.33333333333
u35,3.28205128205
u36,2.73214285714
u39,3.0
u41,2.0
u42,3.72413793103
u43,2.45454545455
u44,3.11494252874
u45,3.82142857143
u46,2.39393939394
u47,3.0
u49,3.45901639344
u50,2.0
u51,2.65909090909
u52,2.90243902439
u53,2.76315789474
u54,2.85
u56,3.73684210526
u57,2.70149253731
u58,2.74545454545
u59,3.3531598513
